symbol,tf,session,sigma,sl_atr,spread,trades,wr,pf,pnl,mdd,avg_win,avg_loss,exp,mid_pct,avg_dur
CADJPY,15m,DAY,2.0,2.5,1.6,107,46.7,0.43,-3336.6,3.53,50.76,103.06,-31.18,50.5,125.9
GBPCHF,1h,DAY,3.0,2.0,1.7,25,32.0,0.32,-3339.64,3.34,194.46,287.96,-133.59,8.0,364.8
USDJPY,1h,US,2.5,2.5,1.0,43,46.5,0.46,-3360.52,4.48,144.96,272.16,-78.15,9.3,298.6
GBPAUD,15m,US,2.2,1.5,2.7,46,23.9,0.23,-3362.43,3.36,93.75,125.54,-73.1,21.7,98.2
EURCAD,15m,DAY,2.5,2.0,1.9,81,33.3,0.36,-3365.7,3.4,69.07,96.86,-41.55,38.3,111.3
NZDUSD,1h,DAY,2.2,2.0,0.9,102,42.2,0.65,-3379.88,4.02,146.49,164.05,-33.14,26.5,414.1
USDJPY,1h,DAY,3.0,1.5,1.0,31,32.3,0.29,-3383.44,3.84,137.17,226.43,-109.14,9.7,311.6
GBPCHF,15m,US,2.2,2.0,1.7,42,35.7,0.3,-3385.45,3.51,98.72,180.23,-80.61,33.3,136.1
NZDUSD,15m,DAY,2.2,1.5,0.9,122,32.8,0.46,-3390.03,3.81,71.58,76.26,-27.79,33.6,103.4
NZDJPY,15m,DAY,2.0,2.5,1.8,118,49.2,0.48,-3390.58,3.56,54.18,108.89,-28.73,50.0,133.5
EURAUD,15m,DAY,2.2,2.0,1.7,107,42.1,0.51,-3392.15,3.45,77.17,110.72,-31.7,43.9,128.3
GBPCAD,1h,DAY,2.5,1.5,2.2,99,39.4,0.69,-3397.45,3.61,196.76,184.52,-34.32,17.2,273.3
